Ref,Richness,Plot_ID,Trmt,LRnet,LRtrans
Lanta & Leps 2006,4,L24,High nutrients,0.71,0.01
Lanta & Leps 2006,2,L6,High nutrients,0.02,-0.63
Lanta & Leps 2006,4,L26,High nutrients,0.83,0.35
Lanta & Leps 2006,4,L18,High nutrients,0.25,-0.37
Lanta & Leps 2006,2,L10,High nutrients,0.66,0.33
Lanta & Leps 2006,2,L11,High nutrients,0.74,0.39
Lanta & Leps 2006,2,L14,High nutrients,0.84,0.22
Lanta & Leps 2006,2,L15,High nutrients,1.07,0.92
Lanta & Leps 2006,2,L4,High nutrients,-0.29,-0.91
Lanta & Leps 2006,2,L5,High nutrients,-0.07,-0.23
Lanta & Leps 2006,2,L16,High nutrients,1.22,0.61
Lanta & Leps 2006,2,L2,High nutrients,-0.93,-1.37
Lanta & Leps 2006,2,L7,High nutrients,0.21,-0.03
Lanta & Leps 2006,2,L9,High nutrients,0.30,-0.01
Lanta & Leps 2006,4,L77,Low nutrients,0.33,0.07
Lanta & Leps 2006,8,L89,Low nutrients,-0.56,-1.05
Lanta & Leps 2006,16,L109,Low nutrients,0.15,-0.70
Lanta & Leps 2006,16,L110,Low nutrients,0.34,-0.51
Lanta & Leps 2006,16,L111,Low nutrients,0.47,-0.37
Lanta & Leps 2006,16,L112,Low nutrients,0.49,-0.36
Lanta & Leps 2006,16,L113,Low nutrients,0.53,-0.32
Lanta & Leps 2006,16,L114,Low nutrients,0.63,-0.22
Lanta & Leps 2006,16,L115,Low nutrients,0.78,-0.07
Lanta & Leps 2006,16,L116,Low nutrients,1.01,0.16
Lanta & Leps 2006,8,L96,Low nutrients,0.34,-0.46
Lanta & Leps 2006,8,L92,Low nutrients,0.17,-0.70
Lanta & Leps 2006,4,L75,Low nutrients,-1.28,-1.55
Lanta & Leps 2006,8,L103,Low nutrients,0.65,-0.08
Lanta & Leps 2006,8,L94,Low nutrients,0.27,-0.29
Lanta & Leps 2006,8,L98,Low nutrients,0.49,-0.21
Lanta & Leps 2006,2,L60,Low nutrients,-0.81,-0.85
Lanta & Leps 2006,8,L101,Low nutrients,0.61,-0.17
Lanta & Leps 2006,8,L99,Low nutrients,0.51,-0.20
Lanta & Leps 2006,8,L90,Low nutrients,-0.44,-1.07
Lanta & Leps 2006,8,L102,Low nutrients,0.64,-0.13
Lanta & Leps 2006,8,L106,Low nutrients,0.83,-0.02
Lanta & Leps 2006,2,L66,Low nutrients,0.17,-0.18
Lanta & Leps 2006,8,L100,Low nutrients,0.51,-0.42
Lanta & Leps 2006,8,L104,Low nutrients,0.68,0.16
Lanta & Leps 2006,8,L108,Low nutrients,1.09,-0.05
Lanta & Leps 2006,8,L107,Low nutrients,0.93,0.00
Lanta & Leps 2006,4,L85,Low nutrients,0.97,-0.20
Lanta & Leps 2006,8,L91,Low nutrients,-0.41,-1.07
Lanta & Leps 2006,8,L93,Low nutrients,0.25,-0.43
Lanta & Leps 2006,8,L105,Low nutrients,0.69,-0.26
Lanta & Leps 2006,4,L82,Low nutrients,0.57,0.11
Lanta & Leps 2006,8,L97,Low nutrients,0.46,-0.17
Lanta & Leps 2006,4,L78,Low nutrients,0.34,0.03
Lanta & Leps 2006,2,L73,Low nutrients,0.75,0.43
Lanta & Leps 2006,8,L95,Low nutrients,0.33,-0.47
Lanta & Leps 2006,4,L76,Low nutrients,0.28,-0.44
Lanta & Leps 2006,4,L80,Low nutrients,0.44,-0.27
Lanta & Leps 2006,2,L62,Low nutrients,-0.41,-0.59
Lanta & Leps 2006,2,L71,Low nutrients,0.53,0.44
Lanta & Leps 2006,4,L86,Low nutrients,0.97,0.36
Lanta & Leps 2006,4,L79,Low nutrients,0.37,0.13
Lanta & Leps 2006,4,L83,Low nutrients,0.68,0.44
Lanta & Leps 2006,4,L87,Low nutrients,1.21,0.42
Lanta & Leps 2006,4,L81,Low nutrients,0.49,0.05
Lanta & Leps 2006,2,L69,Low nutrients,0.42,-0.15
Lanta & Leps 2006,4,L88,Low nutrients,1.28,0.88
Lanta & Leps 2006,4,L84,Low nutrients,0.84,0.16
Lanta & Leps 2006,2,L59,Low nutrients,-2.56,-3.22
Lanta & Leps 2006,2,L64,Low nutrients,-0.09,-0.50
Lanta & Leps 2006,2,L65,Low nutrients,-0.07,-0.24
Lanta & Leps 2006,2,L67,Low nutrients,0.21,-0.37
Lanta & Leps 2006,2,L68,Low nutrients,0.28,0.04
Lanta & Leps 2006,2,L74,Low nutrients,1.43,1.32
Lanta & Leps 2006,2,L61,Low nutrients,-0.66,-1.15
Lanta & Leps 2006,2,L63,Low nutrients,-0.26,-0.47
Lanta & Leps 2006,2,L70,Low nutrients,0.52,0.16
Lanta & Leps 2006,2,L72,Low nutrients,0.58,0.05
Naeem et al. 1996,8,NE91,X,0.44,-0.29
Naeem et al. 1996,8,NE79,X,0.26,-0.57
Naeem et al. 1996,16,NE108,X,-0.11,-0.91
Naeem et al. 1996,16,NE109,X,0.22,-0.58
Naeem et al. 1996,16,NE110,X,0.41,-0.39
Naeem et al. 1996,16,NE111,X,0.44,-0.36
Naeem et al. 1996,16,NE112,X,0.48,-0.33
Naeem et al. 1996,16,NE113,X,0.55,-0.25
Naeem et al. 1996,16,NE114,X,0.67,-0.13
Naeem et al. 1996,16,NE115,X,0.71,-0.10
Naeem et al. 1996,16,NE116,X,0.71,-0.09
Naeem et al. 1996,16,NE117,X,0.73,-0.07
Naeem et al. 1996,4,NE31,X,-2.40,-3.00
Naeem et al. 1996,8,NE93,X,0.47,-0.19
Naeem et al. 1996,8,NE84,X,0.33,-0.12
Naeem et al. 1996,8,NE83,X,0.32,-0.39
Naeem et al. 1996,8,NE90,X,0.43,-0.13
Naeem et al. 1996,8,NE105,X,0.69,-0.16
Naeem et al. 1996,8,NE68,X,-3.55,-4.30
Naeem et al. 1996,8,NE103,X,0.65,-0.06
Naeem et al. 1996,2,NE1,X,-3.26,-3.82
Naeem et al. 1996,2,NE18,X,0.12,-0.26
Naeem et al. 1996,2,NE24,X,0.31,-0.35
Naeem et al. 1996,8,NE75,X,0.14,-0.46
Naeem et al. 1996,4,NE49,X,0.26,-0.82
Naeem et al. 1996,4,NE33,X,-0.16,-0.73
Naeem et al. 1996,4,NE34,X,-0.12,-0.50
Naeem et al. 1996,4,NE35,X,-0.06,-0.41
Naeem et al. 1996,8,NE102,X,0.64,-0.07
Naeem et al. 1996,8,NE80,X,0.27,-0.53
Naeem et al. 1996,8,NE106,X,0.71,-0.14
Naeem et al. 1996,8,NE69,X,-0.25,-1.04
Naeem et al. 1996,8,NE74,X,0.09,-0.41
Naeem et al. 1996,8,NE85,X,0.33,-0.34
Naeem et al. 1996,8,NE95,X,0.53,-0.27
Naeem et al. 1996,5,NE60,X,-0.41,-0.70
Naeem et al. 1996,5,NE61,X,-0.20,-0.49
Naeem et al. 1996,5,NE62,X,0.10,-0.19
Naeem et al. 1996,5,NE63,X,0.19,-0.10
Naeem et al. 1996,5,NE64,X,0.28,-0.01
Naeem et al. 1996,5,NE65,X,0.37,0.08
Naeem et al. 1996,5,NE66,X,0.38,0.09
Naeem et al. 1996,5,NE67,X,0.48,0.19
Naeem et al. 1996,8,NE92,X,0.46,-0.27
Naeem et al. 1996,8,NE99,X,0.60,-0.25
Naeem et al. 1996,8,NE86,X,0.35,-0.37
Naeem et al. 1996,8,NE94,X,0.52,-0.34
Naeem et al. 1996,8,NE107,X,0.86,-0.13
Naeem et al. 1996,8,NE104,X,0.69,-0.18
Naeem et al. 1996,8,NE98,X,0.57,-0.16
Naeem et al. 1996,8,NE100,X,0.62,-0.41
Naeem et al. 1996,8,NE77,X,0.20,-0.47
Naeem et al. 1996,8,NE82,X,0.31,-0.29
Naeem et al. 1996,8,NE88,X,0.39,-0.39
Naeem et al. 1996,8,NE73,X,0.03,-0.57
Naeem et al. 1996,4,NE48,X,0.25,-0.31
Naeem et al. 1996,8,NE76,X,0.18,-0.51
Naeem et al. 1996,8,NE78,X,0.24,-0.32
Naeem et al. 1996,4,NE42,X,0.16,-0.52
Naeem et al. 1996,8,NE101,X,0.63,-0.50
Naeem et al. 1996,8,NE71,X,-0.11,-0.61
Naeem et al. 1996,4,NE37,X,0.03,-0.53
Naeem et al. 1996,8,NE89,X,0.40,-0.23
Naeem et al. 1996,8,NE87,X,0.36,-0.22
Naeem et al. 1996,2,NE21,X,0.21,-0.10
Naeem et al. 1996,8,NE70,X,-0.18,-0.79
Naeem et al. 1996,8,NE81,X,0.28,-0.35
Naeem et al. 1996,8,NE96,X,0.53,-0.24
Naeem et al. 1996,2,NE20,X,0.15,0.06
Naeem et al. 1996,2,NE23,X,0.23,-0.25
Naeem et al. 1996,2,NE25,X,0.34,-0.17
Naeem et al. 1996,8,NE97,X,0.54,-0.18
Naeem et al. 1996,8,NE72,X,0.02,-0.61
Naeem et al. 1996,4,NE32,X,-0.60,-1.09
Naeem et al. 1996,4,NE46,X,0.24,-0.03
Naeem et al. 1996,4,NE56,X,0.43,-0.27
Naeem et al. 1996,4,NE57,X,0.57,-0.19
Naeem et al. 1996,4,NE51,X,0.28,-0.27
Naeem et al. 1996,4,NE53,X,0.37,-0.21
Naeem et al. 1996,4,NE52,X,0.32,-0.11
Naeem et al. 1996,4,NE55,X,0.43,0.09
Naeem et al. 1996,4,NE59,X,0.72,-0.25
Naeem et al. 1996,4,NE47,X,0.25,-0.09
Naeem et al. 1996,4,NE39,X,0.07,-0.22
Naeem et al. 1996,4,NE54,X,0.41,-0.31
Naeem et al. 1996,4,NE36,X,-0.05,-0.45
Naeem et al. 1996,4,NE38,X,0.06,-0.77
Naeem et al. 1996,4,NE40,X,0.09,-0.35
Naeem et al. 1996,4,NE44,X,0.21,-0.23
Naeem et al. 1996,4,NE41,X,0.12,-0.57
Naeem et al. 1996,4,NE50,X,0.26,-0.32
Naeem et al. 1996,4,NE30,X,-2.50,-3.28
Naeem et al. 1996,4,NE58,X,0.70,0.02
Naeem et al. 1996,4,NE43,X,0.20,-0.19
Naeem et al. 1996,4,NE45,X,0.21,-0.18
Naeem et al. 1996,2,NE10,X,-0.05,-0.11
Naeem et al. 1996,2,NE11,X,0.00,-0.06
Naeem et al. 1996,2,NE12,X,0.01,-0.05
Naeem et al. 1996,2,NE13,X,0.06,-0.32
Naeem et al. 1996,2,NE14,X,0.06,-0.14
Naeem et al. 1996,2,NE15,X,0.07,0.01
Naeem et al. 1996,2,NE16,X,0.09,0.03
Naeem et al. 1996,2,NE17,X,0.12,0.06
Naeem et al. 1996,2,NE19,X,0.14,0.08
Naeem et al. 1996,2,NE2,X,-1.50,-1.93
Naeem et al. 1996,2,NE22,X,0.22,-0.41
Naeem et al. 1996,2,NE26,X,0.39,-0.25
Naeem et al. 1996,2,NE27,X,0.42,-0.15
Naeem et al. 1996,2,NE28,X,0.60,0.06
Naeem et al. 1996,2,NE29,X,0.74,0.30
Naeem et al. 1996,2,NE3,X,-0.88,-0.94
Naeem et al. 1996,2,NE4,X,-0.32,-0.86
Naeem et al. 1996,2,NE5,X,-0.26,-0.75
Naeem et al. 1996,2,NE6,X,-0.13,-0.19
Naeem et al. 1996,2,NE7,X,-0.12,-0.18
Naeem et al. 1996,2,NE8,X,-0.10,-0.74
Naeem et al. 1996,2,NE9,X,-0.09,-0.15
Reich & Tilman - BioCon,4,RT4,"CA, NA",-0.49,-0.57
Reich & Tilman - BioCon,9,RT30,"CA, NA",0.99,0.56
Reich & Tilman - BioCon,9,RT22,"CA, NA",0.52,0.07
Reich & Tilman - BioCon,16,RT31,"CA, NA",0.42,-0.17
Reich & Tilman - BioCon,16,RT32,"CA, NA",0.50,-0.10
Reich & Tilman - BioCon,16,RT33,"CA, NA",0.70,0.10
Reich & Tilman - BioCon,16,RT34,"CA, NA",0.80,0.21
Reich & Tilman - BioCon,16,RT35,"CA, NA",0.81,0.21
Reich & Tilman - BioCon,16,RT36,"CA, NA",0.85,0.25
Reich & Tilman - BioCon,16,RT37,"CA, NA",0.95,0.36
Reich & Tilman - BioCon,16,RT38,"CA, NA",1.03,0.44
Reich & Tilman - BioCon,16,RT39,"CA, NA",1.09,0.49
Reich & Tilman - BioCon,16,RT40,"CA, NA",1.09,0.50
Reich & Tilman - BioCon,16,RT41,"CA, NA",1.17,0.57
Reich & Tilman - BioCon,16,RT42,"CA, NA",1.59,1.00
Reich & Tilman - BioCon,9,RT23,"CA, NA",0.66,0.37
Reich & Tilman - BioCon,9,RT29,"CA, NA",0.95,0.52
Reich & Tilman - BioCon,9,RT24,"CA, NA",0.69,0.16
Reich & Tilman - BioCon,9,RT16,"CA, NA",-0.17,-0.57
Reich & Tilman - BioCon,9,RT17,"CA, NA",-0.03,-0.23
Reich & Tilman - BioCon,9,RT28,"CA, NA",0.88,0.36
Reich & Tilman - BioCon,9,RT20,"CA, NA",0.18,-0.21
Reich & Tilman - BioCon,9,RT26,"CA, NA",0.81,0.30
Reich & Tilman - BioCon,9,RT27,"CA, NA",0.82,0.39
Reich & Tilman - BioCon,9,RT25,"CA, NA",0.75,0.24
Reich & Tilman - BioCon,4,RT1,"CA, NA",-0.75,-1.32
Reich & Tilman - BioCon,4,RT5,"CA, NA",-0.30,-0.67
Reich & Tilman - BioCon,4,RT9,"CA, NA",-0.08,-0.41
Reich & Tilman - BioCon,9,RT19,"CA, NA",0.14,-0.49
Reich & Tilman - BioCon,9,RT21,"CA, NA",0.43,-0.16
Reich & Tilman - BioCon,9,RT18,"CA, NA",0.04,-0.54
Reich & Tilman - BioCon,4,RT11,"CA, NA",0.74,0.38
Reich & Tilman - BioCon,4,RT12,"CA, NA",0.77,0.50
Reich & Tilman - BioCon,4,RT14,"CA, NA",0.91,0.56
Reich & Tilman - BioCon,4,RT6,"CA, NA",-0.29,-0.57
Reich & Tilman - BioCon,4,RT7,"CA, NA",-0.25,-0.71
Reich & Tilman - BioCon,4,RT8,"CA, NA",-0.25,-0.71
Reich & Tilman - BioCon,4,RT15,"CA, NA",0.93,0.53
Reich & Tilman - BioCon,4,RT13,"CA, NA",0.84,0.52
Reich & Tilman - BioCon,4,RT10,"CA, NA",0.57,0.31
Reich & Tilman - BioCon,4,RT3,"CA, NA",-0.68,-1.04
Reich & Tilman - BioCon,4,RT2,"CA, NA",-0.72,-1.15
Reich & Tilman - BioCon,16,RT73,"CA, NE",-0.11,-0.46
Reich & Tilman - BioCon,16,RT74,"CA, NE",0.40,0.04
Reich & Tilman - BioCon,16,RT75,"CA, NE",0.42,0.07
Reich & Tilman - BioCon,16,RT76,"CA, NE",0.44,0.09
Reich & Tilman - BioCon,16,RT77,"CA, NE",0.47,0.11
Reich & Tilman - BioCon,16,RT78,"CA, NE",0.57,0.22
Reich & Tilman - BioCon,16,RT79,"CA, NE",0.58,0.23
Reich & Tilman - BioCon,16,RT80,"CA, NE",0.68,0.32
Reich & Tilman - BioCon,16,RT81,"CA, NE",0.80,0.44
Reich & Tilman - BioCon,16,RT82,"CA, NE",0.83,0.47
Reich & Tilman - BioCon,16,RT83,"CA, NE",0.92,0.57
Reich & Tilman - BioCon,16,RT84,"CA, NE",1.04,0.68
Reich & Tilman - BioCon,9,RT68,"CA, NE",0.52,0.24
Reich & Tilman - BioCon,9,RT66,"CA, NE",0.46,0.15
Reich & Tilman - BioCon,9,RT72,"CA, NE",0.93,0.55
Reich & Tilman - BioCon,9,RT59,"CA, NE",0.08,-0.55
Reich & Tilman - BioCon,9,RT58,"CA, NE",-0.05,-0.56
Reich & Tilman - BioCon,9,RT69,"CA, NE",0.62,0.16
Reich & Tilman - BioCon,9,RT60,"CA, NE",0.09,-0.53
Reich & Tilman - BioCon,9,RT61,"CA, NE",0.20,-0.40
Reich & Tilman - BioCon,9,RT67,"CA, NE",0.46,-0.13
Reich & Tilman - BioCon,9,RT71,"CA, NE",0.64,0.20
Reich & Tilman - BioCon,9,RT62,"CA, NE",0.22,-0.43
Reich & Tilman - BioCon,9,RT70,"CA, NE",0.64,0.12
Reich & Tilman - BioCon,9,RT65,"CA, NE",0.45,0.10
Reich & Tilman - BioCon,4,RT46,"CA, NE",0.08,-0.27
Reich & Tilman - BioCon,4,RT47,"CA, NE",0.15,-0.06
Reich & Tilman - BioCon,4,RT54,"CA, NE",0.80,0.56
Reich & Tilman - BioCon,9,RT64,"CA, NE",0.38,-0.27
Reich & Tilman - BioCon,9,RT63,"CA, NE",0.28,-0.19
Reich & Tilman - BioCon,4,RT50,"CA, NE",0.45,0.18
Reich & Tilman - BioCon,4,RT45,"CA, NE",0.05,-0.25
Reich & Tilman - BioCon,4,RT49,"CA, NE",0.31,-0.09
Reich & Tilman - BioCon,4,RT48,"CA, NE",0.30,-0.17
Reich & Tilman - BioCon,4,RT44,"CA, NE",0.04,-0.26
Reich & Tilman - BioCon,4,RT53,"CA, NE",0.69,0.23
Reich & Tilman - BioCon,4,RT55,"CA, NE",0.88,0.48
Reich & Tilman - BioCon,4,RT52,"CA, NE",0.66,0.21
Reich & Tilman - BioCon,4,RT56,"CA, NE",1.00,0.73
Reich & Tilman - BioCon,4,RT57,"CA, NE",1.04,0.41
Reich & Tilman - BioCon,4,RT43,"CA, NE",-0.08,-0.41
Reich & Tilman - BioCon,4,RT51,"CA, NE",0.59,0.28
Reich & Tilman - BioCon,4,RT85,"CE, NA",-0.27,-0.47
Reich & Tilman - BioCon,9,RT112,"CE, NA",1.31,0.82
Reich & Tilman - BioCon,16,RT115,"CE, NA",0.42,-0.60
Reich & Tilman - BioCon,16,RT116,"CE, NA",0.72,-0.30
Reich & Tilman - BioCon,16,RT117,"CE, NA",0.81,-0.22
Reich & Tilman - BioCon,16,RT118,"CE, NA",0.91,-0.11
Reich & Tilman - BioCon,16,RT119,"CE, NA",0.91,-0.11
Reich & Tilman - BioCon,16,RT120,"CE, NA",1.00,-0.03
Reich & Tilman - BioCon,16,RT121,"CE, NA",1.09,0.06
Reich & Tilman - BioCon,16,RT122,"CE, NA",1.13,0.11
Reich & Tilman - BioCon,16,RT123,"CE, NA",1.14,0.12
Reich & Tilman - BioCon,16,RT124,"CE, NA",1.33,0.30
Reich & Tilman - BioCon,16,RT125,"CE, NA",1.34,0.31
Reich & Tilman - BioCon,16,RT126,"CE, NA",1.61,0.58
Reich & Tilman - BioCon,9,RT113,"CE, NA",1.52,0.55
Reich & Tilman - BioCon,9,RT114,"CE, NA",1.59,1.03
Reich & Tilman - BioCon,9,RT100,"CE, NA",-0.16,-0.92
Reich & Tilman - BioCon,9,RT110,"CE, NA",1.14,0.25
Reich & Tilman - BioCon,9,RT101,"CE, NA",-0.07,-0.89
Reich & Tilman - BioCon,9,RT104,"CE, NA",0.43,-0.66
Reich & Tilman - BioCon,9,RT107,"CE, NA",0.90,0.39
Reich & Tilman - BioCon,9,RT108,"CE, NA",0.92,0.19
Reich & Tilman - BioCon,9,RT109,"CE, NA",0.95,0.07
Reich & Tilman - BioCon,9,RT111,"CE, NA",1.15,0.15
Reich & Tilman - BioCon,4,RT93,"CE, NA",0.68,-0.09
Reich & Tilman - BioCon,4,RT99,"CE, NA",1.40,1.17
Reich & Tilman - BioCon,9,RT103,"CE, NA",0.23,-0.52
Reich & Tilman - BioCon,9,RT105,"CE, NA",0.59,-0.30
Reich & Tilman - BioCon,9,RT102,"CE, NA",0.12,-0.81
Reich & Tilman - BioCon,9,RT106,"CE, NA",0.87,-0.06
Reich & Tilman - BioCon,4,RT87,"CE, NA",-0.05,-0.63
Reich & Tilman - BioCon,4,RT97,"CE, NA",1.16,0.69
Reich & Tilman - BioCon,4,RT90,"CE, NA",0.33,-0.17
Reich & Tilman - BioCon,4,RT91,"CE, NA",0.33,-0.08
Reich & Tilman - BioCon,4,RT92,"CE, NA",0.60,0.39
Reich & Tilman - BioCon,4,RT96,"CE, NA",1.12,0.25
Reich & Tilman - BioCon,4,RT86,"CE, NA",-0.11,-0.39
Reich & Tilman - BioCon,4,RT88,"CE, NA",0.14,-0.59
Reich & Tilman - BioCon,4,RT89,"CE, NA",0.16,-0.28
Reich & Tilman - BioCon,4,RT98,"CE, NA",1.26,0.85
Reich & Tilman - BioCon,4,RT95,"CE, NA",0.91,0.20
Reich & Tilman - BioCon,4,RT94,"CE, NA",0.75,-0.09
Reich & Tilman - BioCon,9,RT155,"CE, NE",0.54,-0.20
Reich & Tilman - BioCon,16,RT157,"CE, NE",-0.06,-0.89
Reich & Tilman - BioCon,16,RT158,"CE, NE",-0.01,-0.84
Reich & Tilman - BioCon,16,RT159,"CE, NE",0.10,-0.73
Reich & Tilman - BioCon,16,RT160,"CE, NE",0.16,-0.67
Reich & Tilman - BioCon,16,RT161,"CE, NE",0.20,-0.63
Reich & Tilman - BioCon,16,RT162,"CE, NE",0.28,-0.55
Reich & Tilman - BioCon,16,RT163,"CE, NE",0.31,-0.52
Reich & Tilman - BioCon,16,RT164,"CE, NE",0.31,-0.52
Reich & Tilman - BioCon,16,RT165,"CE, NE",0.49,-0.34
Reich & Tilman - BioCon,16,RT166,"CE, NE",0.51,-0.32
Reich & Tilman - BioCon,16,RT167,"CE, NE",0.53,-0.30
Reich & Tilman - BioCon,16,RT168,"CE, NE",0.70,-0.13
Reich & Tilman - BioCon,9,RT150,"CE, NE",0.19,-0.60
Reich & Tilman - BioCon,9,RT142,"CE, NE",-0.35,-0.82
Reich & Tilman - BioCon,9,RT147,"CE, NE",0.12,-0.79
Reich & Tilman - BioCon,9,RT149,"CE, NE",0.17,-0.59
Reich & Tilman - BioCon,9,RT148,"CE, NE",0.12,-0.30
Reich & Tilman - BioCon,9,RT154,"CE, NE",0.29,-0.62
Reich & Tilman - BioCon,9,RT151,"CE, NE",0.24,-0.27
Reich & Tilman - BioCon,9,RT144,"CE, NE",-0.17,-0.89
Reich & Tilman - BioCon,9,RT153,"CE, NE",0.28,-0.64
Reich & Tilman - BioCon,9,RT143,"CE, NE",-0.28,-1.12
Reich & Tilman - BioCon,9,RT146,"CE, NE",-0.06,-0.87
Reich & Tilman - BioCon,9,RT145,"CE, NE",-0.09,-0.69
Reich & Tilman - BioCon,9,RT156,"CE, NE",0.57,-0.11
Reich & Tilman - BioCon,4,RT129,"CE, NE",-0.33,-0.90
Reich & Tilman - BioCon,4,RT130,"CE, NE",-0.20,-0.69
Reich & Tilman - BioCon,4,RT132,"CE, NE",-0.04,-0.59
Reich & Tilman - BioCon,4,RT135,"CE, NE",0.35,0.15
Reich & Tilman - BioCon,9,RT152,"CE, NE",0.26,-0.73
Reich & Tilman - BioCon,4,RT127,"CE, NE",-0.75,-1.13
Reich & Tilman - BioCon,4,RT136,"CE, NE",0.42,-0.13
Reich & Tilman - BioCon,4,RT128,"CE, NE",-0.36,-0.66
Reich & Tilman - BioCon,4,RT131,"CE, NE",-0.17,-0.54
Reich & Tilman - BioCon,4,RT140,"CE, NE",0.66,0.44
Reich & Tilman - BioCon,4,RT141,"CE, NE",1.06,0.68
Reich & Tilman - BioCon,4,RT137,"CE, NE",0.47,-0.63
Reich & Tilman - BioCon,4,RT138,"CE, NE",0.55,-0.18
Reich & Tilman - BioCon,4,RT133,"CE, NE",0.07,-0.43
Reich & Tilman - BioCon,4,RT134,"CE, NE",0.15,-0.10
Reich & Tilman - BioCon,4,RT139,"CE, NE",0.61,0.23
Spehn et al. 2005,4,S1,Germany,-0.33,-0.69
Spehn et al. 2005,4,S2,Germany,0.09,-0.27
Spehn et al. 2005,4,S3,Germany,0.59,0.42
Spehn et al. 2005,4,S4,Germany,0.74,0.56
Spehn et al. 2005,2,S7,Greece,-0.61,-1.25
Spehn et al. 2005,2,S8,Greece,-0.12,-0.77
Spehn et al. 2005,2,S10,Greece,0.31,-0.32
Spehn et al. 2005,2,S5,Greece,-1.72,-1.85
Spehn et al. 2005,2,S6,Greece,-0.73,-0.86
Spehn et al. 2005,2,S9,Greece,0.15,-0.48
Spehn et al. 2005,4,S30,Ireland,-0.07,-0.12
Spehn et al. 2005,4,S31,Ireland,0.00,-0.05
Spehn et al. 2005,4,S32,Ireland,0.13,0.08
Spehn et al. 2005,4,S35,Ireland,0.25,0.20
Spehn et al. 2005,8,S51,Ireland,0.29,-0.46
Spehn et al. 2005,8,S52,Ireland,0.31,-0.44
Spehn et al. 2005,8,S50,Ireland,0.27,-0.45
Spehn et al. 2005,8,S55,Ireland,0.46,-0.26
Spehn et al. 2005,2,S11,Ireland,-0.02,-0.05
Spehn et al. 2005,2,S13,Ireland,0.11,-0.37
Spehn et al. 2005,2,S16,Ireland,0.22,0.19
Spehn et al. 2005,2,S20,Ireland,0.43,-0.06
Spehn et al. 2005,8,S49,Ireland,0.15,-0.55
Spehn et al. 2005,8,S53,Ireland,0.39,-0.32
Spehn et al. 2005,8,S54,Ireland,0.45,-0.26
Spehn et al. 2005,8,S56,Ireland,0.50,-0.20
Spehn et al. 2005,4,S36,Ireland,0.27,-0.32
Spehn et al. 2005,4,S39,Ireland,0.37,-0.21
Spehn et al. 2005,4,S40,Ireland,0.48,-0.09
Spehn et al. 2005,4,S44,Ireland,0.61,0.04
Spehn et al. 2005,4,S45,Ireland,0.72,0.39
Spehn et al. 2005,4,S47,Ireland,0.88,0.55
Spehn et al. 2005,4,S29,Ireland,-0.18,-0.63
Spehn et al. 2005,4,S34,Ireland,0.19,-0.26
Spehn et al. 2005,4,S38,Ireland,0.34,-0.10
Spehn et al. 2005,4,S41,Ireland,0.49,0.04
Spehn et al. 2005,4,S46,Ireland,0.79,0.37
Spehn et al. 2005,4,S48,Ireland,0.91,0.49
Spehn et al. 2005,4,S37,Ireland,0.33,-0.49
Spehn et al. 2005,4,S42,Ireland,0.56,-0.25
Spehn et al. 2005,2,S12,Ireland,0.10,-0.01
Spehn et al. 2005,2,S14,Ireland,0.11,0.00
Spehn et al. 2005,2,S24,Ireland,0.49,-0.01
Spehn et al. 2005,2,S26,Ireland,0.75,0.25
Spehn et al. 2005,4,S33,Ireland,0.13,-0.25
Spehn et al. 2005,4,S43,Ireland,0.59,0.21
Spehn et al. 2005,3,S27,Ireland,0.44,0.28
Spehn et al. 2005,3,S28,Ireland,0.49,0.33
Spehn et al. 2005,2,S15,Ireland,0.19,-0.40
Spehn et al. 2005,2,S17,Ireland,0.23,0.09
Spehn et al. 2005,2,S18,Ireland,0.30,0.16
Spehn et al. 2005,2,S19,Ireland,0.33,0.26
Spehn et al. 2005,2,S21,Ireland,0.47,0.39
Spehn et al. 2005,2,S22,Ireland,0.48,0.41
Spehn et al. 2005,2,S23,Ireland,0.49,-0.10
Spehn et al. 2005,2,S25,Ireland,0.58,0.51
Spehn et al. 2005,2,S59,Portugal,0.03,-0.48
Spehn et al. 2005,2,S61,Portugal,0.55,0.04
Spehn et al. 2005,4,S63,Portugal,0.89,0.09
Spehn et al. 2005,4,S64,Portugal,1.28,0.48
Spehn et al. 2005,2,S57,Portugal,-1.36,-1.94
Spehn et al. 2005,2,S58,Portugal,-0.71,-1.29
Spehn et al. 2005,2,S60,Portugal,0.39,0.36
Spehn et al. 2005,2,S62,Portugal,0.99,0.96
Spehn et al. 2005,12,S91,Sheffield,0.48,0.00
Spehn et al. 2005,12,S92,Sheffield,0.54,0.06
Spehn et al. 2005,12,S93,Sheffield,0.54,0.06
Spehn et al. 2005,12,S94,Sheffield,0.68,0.20
Spehn et al. 2005,2,S67,Sheffield,-0.03,-0.14
Spehn et al. 2005,2,S70,Sheffield,0.03,-0.09
Spehn et al. 2005,8,S85,Sheffield,0.51,0.03
Spehn et al. 2005,8,S87,Sheffield,0.55,0.07
Spehn et al. 2005,8,S86,Sheffield,0.54,0.08
Spehn et al. 2005,8,S89,Sheffield,0.63,0.17
Spehn et al. 2005,8,S83,Sheffield,0.44,-0.03
Spehn et al. 2005,8,S84,Sheffield,0.49,0.02
Spehn et al. 2005,8,S88,Sheffield,0.58,0.14
Spehn et al. 2005,8,S90,Sheffield,0.65,0.22
